hz,measured_db,predicted_db,difference_db
12.8,-28.73,-19.61,-9.12
14.2,-18.73,-17.98,-0.75
15.8,-22.10,-15.95,-6.16
17.6,-20.71,-14.33,-6.38
19.5,-17.43,-12.31,-5.11
21.6,-9.91,-10.73,+0.81
24.0,-17.09,-8.79,-8.30
26.7,-10.06,-7.29,-2.77
29.6,-5.39,-5.54,+0.14
32.9,-1.09,-4.26,+3.17
36.5,0.44,-2.88,+3.32
40.6,2.42,-1.98,+4.40
45.0,0.77,-1.11,+1.89
50.0,1.38,-0.62,+2.00
55.5,3.12,-0.21,+3.33
61.6,-2.37,0.03,-2.40
68.4,-3.96,0.13,-4.09
76.0,-9.57,0.19,-9.76
84.4,-11.31,0.21,-11.52
93.7,-11.21,0.20,-11.41
104.0,-17.75,0.19,-17.94
115.5,-23.83,0.17,-23.99
128.3,-42.01,0.15,-42.15
142.4,-44.84,0.12,-44.97
158.1,-48.79,0.11,-48.90
175.6,-58.88,0.09,-58.97
194.9,-55.69,0.07,-55.77
