hz,db
5.0,-36.212
5.117,-35.809
5.237,-35.406
5.359,-35.002
5.485,-34.599
5.613,-34.195
5.745,-33.792
5.879,-33.388
6.017,-32.984
6.158,-32.581
6.302,-32.177
6.449,-31.773
6.6,-31.369
6.755,-30.965
6.913,-30.56
7.075,-30.156
7.241,-29.752
7.41,-29.347
7.584,-28.943
7.761,-28.538
7.943,-28.133
8.129,-27.728
8.319,-27.323
8.514,-26.918
8.713,-26.513
8.917,-26.108
9.126,-25.702
9.34,-25.297
9.558,-24.891
9.782,-24.485
10.011,-24.079
10.245,-23.673
10.485,-23.267
10.731,-22.861
10.982,-22.455
11.239,-22.048
11.502,-21.642
11.771,-21.235
12.047,-20.828
12.329,-20.421
12.618,-20.015
12.913,-19.608
13.215,-19.201
13.525,-18.794
13.841,-18.387
14.165,-17.98
14.497,-17.573
14.837,-17.167
15.184,-16.76
15.539,-16.354
15.903,-15.948
16.275,-15.542
16.656,-15.136
17.046,-14.731
17.446,-14.327
17.854,-13.923
18.272,-13.519
18.7,-13.117
19.137,-12.715
19.586,-12.315
20.044,-11.915
20.513,-11.517
20.994,-11.121
21.485,-10.726
21.988,-10.333
22.503,-9.942
23.03,-9.554
23.569,-9.168
24.121,-8.786
24.685,-8.406
25.263,-8.031
25.855,-7.659
26.46,-7.292
27.079,-6.93
27.713,-6.573
28.362,-6.222
29.026,-5.877
29.706,-5.539
30.401,-5.209
31.113,-4.886
31.841,-4.571
32.587,-4.265
33.35,-3.969
34.13,-3.682
34.929,-3.405
35.747,-3.139
36.584,-2.884
37.441,-2.64
38.317,-2.408
39.214,-2.188
40.132,-1.979
41.072,-1.782
42.033,-1.597
43.017,-1.424
44.024,-1.262
45.055,-1.112
46.11,-0.973
47.189,-0.844
48.294,-0.726
49.425,-0.618
50.582,-0.519
51.766,-0.429
52.978,-0.348
54.218,-0.274
55.488,-0.208
56.787,-0.149
58.116,-0.096
59.477,-0.049
60.869,-0.008
62.294,0.029
63.753,0.06
65.245,0.088
66.773,0.112
68.336,0.132
69.936,0.149
71.573,0.164
73.249,0.176
74.963,0.186
76.718,0.193
78.515,0.199
80.353,0.204
82.234,0.207
84.159,0.208
86.129,0.209
88.146,0.209
90.209,0.208
92.321,0.206
94.483,0.203
96.695,0.201
98.958,0.197
101.275,0.193
103.646,0.189
106.073,0.185
108.556,0.181
111.097,0.176
113.698,0.171
116.36,0.166
119.084,0.162
121.872,0.157
124.725,0.152
127.645,0.147
130.634,0.142
133.692,0.137
136.822,0.133
140.025,0.128
143.303,0.123
146.658,0.119
150.092,0.115
153.606,0.11
157.202,0.106
160.882,0.102
164.649,0.098
168.503,0.094
172.448,0.091
176.485,0.087
180.617,0.084
184.846,0.08
189.173,0.077
193.602,0.074
198.134,0.071
202.773,0.068
207.52,0.065
212.379,0.063
217.351,0.06
222.439,0.057
227.647,0.055
232.976,0.053
238.431,0.05
244.013,0.048
249.725,0.046
255.572,0.044
261.555,0.042
267.678,0.041
273.945,0.039
280.358,0.037
286.922,0.036
293.639,0.034
300.514,0.033
307.549,0.031
314.749,0.03
322.118,0.028
329.659,0.027
337.377,0.026
345.276,0.025
353.359,0.024
361.632,0.023
370.098,0.022
378.763,0.021
387.63,0.02
396.705,0.019
405.992,0.018
415.497,0.017
425.224,0.017
435.18,0.016
445.368,0.015
455.794,0.014
466.465,0.014
477.386,0.013
488.562,0.013
500.0,0.012
