hz,db
5.0,-55.744
5.552,-59.448
6.164,-46.786
6.844,-39.595
7.6,-40.181
8.438,-52.12
9.369,-38.212
10.403,-32.968
11.551,-34.393
12.825,-28.945
14.24,-21.372
15.811,-25.115
17.556,-20.964
19.493,-15.076
21.644,-11.472
24.032,-7.807
26.683,-3.066
29.628,-0.412
32.897,1.895
36.526,2.884
40.557,3.477
45.031,2.892
50.0,2.517
55.517,2.461
61.642,-3.854
68.444,-3.164
75.996,-6.025
84.381,-8.127
93.691,-8.777
104.028,-12.014
115.506,-18.249
128.251,-31.902
142.402,-18.821
158.114,-21.418
175.56,-28.814
194.93,-21.733
216.438,-17.643
240.319,-20.084
266.835,-40.703
296.277,-32.616
328.967,-24.764
365.264,-27.112
405.565,-34.349
450.314,-29.677
500.0,-24.458
