hz,db
5.0,-45.985
5.552,-44.884
6.164,-42.601
6.844,-38.439
7.6,-34.637
8.438,-38.99
9.369,-26.431
10.403,-28.195
11.551,-25.269
12.825,-25.229
14.24,-25.226
15.811,-19.444
17.556,-15.932
19.493,-14.907
21.644,-7.728
24.032,-13.418
26.683,-12.118
29.628,-7.354
32.897,-2.981
36.526,-1.529
40.557,-0.216
45.031,0.402
50.0,1.338
55.517,3.191
61.642,-3.542
68.444,-2.801
75.996,-5.84
84.381,-1.781
93.691,-3.266
104.028,-2.101
115.506,-10.414
128.251,-14.794
142.402,-8.168
158.114,-6.329
175.56,-6.838
194.93,-1.419
216.438,-9.088
240.319,-4.127
266.835,-7.782
296.277,-20.675
328.967,-19.761
365.264,-14.583
405.565,-8.72
450.314,-13.135
500.0,-14.635
