hz,db
5.0,-55.417
5.552,-60.994
6.164,-49.078
6.844,-43.996
7.6,-51.356
8.438,-46.695
9.369,-39.133
10.403,-31.747
11.551,-30.217
12.825,-28.727
14.24,-18.734
15.811,-22.104
17.556,-20.711
19.493,-17.427
21.644,-9.913
24.032,-17.085
26.683,-10.061
29.628,-5.395
32.897,-1.094
36.526,0.438
40.557,2.421
45.031,0.774
50.0,1.378
55.517,3.123
61.642,-2.367
68.444,-3.958
75.996,-9.568
84.381,-11.312
93.691,-11.207
104.028,-17.75
115.506,-23.827
128.251,-42.005
142.402,-44.845
158.114,-48.791
175.56,-58.881
194.93,-55.692
216.438,-66.411
240.319,-64.567
266.835,-69.687
296.277,-68.829
328.967,-75.415
365.264,-66.185
405.565,-70.153
450.314,-75.254
500.0,-77.973
