hz,db
5.0,-60.442
5.552,-50.12
6.164,-41.981
6.844,-38.28
7.6,-35.534
8.438,-37.71
9.369,-33.91
10.403,-28.272
11.551,-26.407
12.825,-25.917
14.24,-27.114
15.811,-19.407
17.556,-18.35
19.493,-14.552
21.644,-9.549
24.032,-14.124
26.683,-7.421
29.628,-3.305
32.897,0.368
36.526,1.559
40.557,2.464
45.031,1.095
50.0,1.778
55.517,3.019
61.642,-1.899
68.444,-5.135
75.996,-6.35
84.381,-3.508
93.691,-2.629
104.028,-7.894
115.506,-12.581
128.251,-18.128
142.402,-11.384
158.114,-11.238
175.56,-17.707
194.93,-12.853
216.438,-9.736
240.319,-12.907
266.835,-23.103
296.277,-15.646
328.967,-16.449
365.264,-13.341
405.565,-16.811
450.314,-24.452
500.0,-17.304
